BinLeft,BinRight,Efficiency
-2.5,-2.4,0.76
-2.4,-2,0.81
-2,-1.8,0.83
-1.8,-1.5,0.86
-1.5,-1.35,0.80
-1.35,-1.15,0.86
-1.15,-0.8,0.88
-0.8,-0.6,0.89
-0.6,-0.1,0.90
-0.1,0,0.87
0,0.1,0.85
0.1,0.6,0.90
0.6,0.8,0.90
0.8,1.15,0.89
1.15,1.35,0.86
1.35,1.5,0.82
1.5,1.8,0.87
1.8,2,0.84
2,2.4,0.81
2.4,2.5,0.77
